,accuracy,f1_score,precision,recall,ml_framework,transfer_learning,deep_learning,model_type,depth,num_params,embedding_layers,conv1d_layers,maxpooling1d_layers,simplernn_layers,dropout_layers,flatten_layers,lstm_layers,inputlayer_layers,concatenate_layers,bidirectional_layers,globalmaxpooling1d_layers,timedistributed_layers,globalaveragepooling1d_layers,dense_layers,batchnormalization_layers,sigmoid_act,softmax_act,tanh_act,relu_act,loss,optimizer,memory_size,team,username,timestamp,version
336,0.6223929747530187,0.5919054068132097,0.6752840322247469,0.6226937536148063,keras,,True,Sequential,5.0,2075394.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,8302880.0,,so2638,2023-04-18 02:59:46.640451,359
337,0.6190998902305159,0.5926836465029501,0.661441495463552,0.6193801812222866,sklearn,,,GradientBoostingClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,AIModelShare,2022-12-05 16:41:17.421196,7
338,0.5916575192096597,0.5278056447298021,0.7012326169405816,0.5920618854829381,keras,,True,Sequential,5.0,193218.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,774176.0,,halfbaked_em,2023-04-17 20:04:00.792821,293
339,0.5861690450054885,0.5173492976945833,0.7023029279279279,0.5865842490842491,keras,,True,Sequential,6.0,341730.0,1.0,2.0,1.0,,,,,,,,1.0,,,1.0,,,,,2.0,str,RMSprop,1367936.0,,Chen,2023-04-17 01:05:39.416869,251
340,0.6158068057080132,0.5868962479270315,0.6614931817267595,0.6160979371505687,sklearn,,,GradientBoostingClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,miles_degrazia,2023-04-18 01:42:35.541838,352
341,0.5587266739846323,0.461558592785142,0.7142470867350499,0.559193657219973,keras,,True,Sequential,5.0,174658.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,699936.0,,cj2733,2023-04-17 22:23:34.540047,315
342,0.5093304061470911,0.3546532911783583,0.7522172949002217,0.5098684210526315,keras,,True,Sequential,3.0,328386.0,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,str,RMSprop,1314416.0,,Chen,2023-04-15 15:34:18.050962,155
343,0.601536772777168,0.5572915899686335,0.6701355353808511,0.6018845189897821,keras,,True,Sequential,5.0,2054722.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,8220192.0,,so2638,2023-04-15 20:06:34.391113,176
344,0.5082327113062569,0.3522929257020973,0.751937984496124,0.5087719298245614,keras,,True,Sequential,8.0,199618.0,1.0,,,,,1.0,5.0,,,,,,,1.0,,,1.0,5.0,,str,RMSprop,800944.0,,arushisaranath,2023-04-18 15:40:20.505130,402
345,0.5466520307354555,0.4370291343778476,0.7150679509170075,0.5471370734528629,keras,,True,Sequential,5.0,174658.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,699936.0,,Estelle,2023-04-18 16:35:10.371358,409
346,0.54006586169045,0.423244351569382,0.7159481652553246,0.5405605359552728,keras,,True,Sequential,5.0,2249090.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,8997664.0,,so2638,2023-04-18 03:52:11.190363,375
347,0.5005488474204172,0.3355215171407731,0.75,0.5010964912280702,keras,,True,Sequential,4.0,132098.0,1.0,,,,,1.0,,,,,,,,2.0,,1.0,,,1.0,str,RMSprop,529136.0,,so2638,2023-04-15 19:26:05.874985,168
348,0.5686059275521405,0.558171391337507,0.5755212211466865,0.5684379217273954,keras,,True,Sequential,5.0,1308865.0,1.0,1.0,,,,,,,,,1.0,,,2.0,,1.0,,,2.0,function,Adam,5236464.0,,rian,2023-04-13 06:30:21.745936,75
349,0.5159165751920965,0.3703722278032275,0.7245032241084353,0.5164449585502218,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,AIModelShare,2022-12-05 16:37:43.789563,4
350,0.570801317233809,0.4934462481423807,0.6838458476389511,0.5712309620204357,keras,,True,Sequential,5.0,174658.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,699936.0,,kellychen,2023-04-18 04:26:13.619063,381
351,0.5433589462129528,0.43087809507791,0.7113240418118467,0.5438475997686524,keras,,True,Sequential,5.0,174658.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,699936.0,,cj2733,2023-04-18 03:25:54.287659,365
352,0.5433589462129528,0.43087809507791,0.7113240418118467,0.5438475997686524,keras,,True,Sequential,5.0,174658.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,699936.0,,cj2733,2023-04-18 03:30:07.923035,367
353,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,sairachawla,2023-04-16 15:19:37.551942,201
354,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,caessara,2023-03-20 18:29:30.822234,17
355,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,Chen,2023-04-15 15:10:09.903134,153
356,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,kellychen,2023-04-18 05:10:18.083824,387
357,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,adrianwang,2023-04-04 21:15:50.460919,34
358,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,mikedparrott,2023-03-15 18:16:18.599602,13
359,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,mikedparrott,2023-03-14 18:14:29.977255,11
360,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,so2638,2023-04-11 21:56:07.440687,50
361,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,newusertest,2023-04-11 18:30:58.389723,40
362,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,miles_degrazia,2023-04-18 01:09:12.704837,345
363,0.5148188803512623,0.3680759573132455,0.7223812849162011,0.5153484673221516,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,mikedparrott,2023-03-14 18:10:35.697273,10
364,0.5466520307354555,0.439711876244384,0.7008915731952833,0.5471322537112011,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,AIModelShare,2022-12-05 16:39:56.858920,6
365,0.5477497255762898,0.5038441201353638,0.5745694037437952,0.5480769230769231,keras,,True,Functional,9.0,81762.0,,2.0,2.0,,1.0,1.0,,1.0,,,,,,2.0,,,1.0,,3.0,str,Adam,328176.0,,chachagsedaro,2023-03-28 21:15:20.283133,23
366,0.5510428100987925,0.4851080294895977,0.6057911536707706,0.5514362830152304,keras,True,True,Sequential,6.0,652706.0,1.0,,,,,1.0,,,,,,,,4.0,,,1.0,,3.0,str,RMSprop,2612112.0,,so2638,2023-04-15 20:13:05.456341,178
367,0.5488474204171241,0.4748336856219941,0.613341983276776,0.5492601696549065,keras,,True,Sequential,5.0,193218.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,774176.0,,so2638,2023-04-15 19:44:23.420829,169
368,0.5334796926454446,0.4120572491553093,0.6976450798990749,0.5339791787160209,sklearn,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,caessara,2023-03-20 18:34:08.220685,19
369,0.5323819978046103,0.5322551874421475,0.5324382358618027,0.532400713321766,keras,,True,Sequential,6.0,366082.0,1.0,,,,2.0,,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,1465632.0,,sairachawla,2023-04-18 02:50:22.292716,357
370,0.5411635565312843,0.4823807348927239,0.5745477285138015,0.5407942934258724,sklearn,,,GradientBoostingClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,adrianwang,2023-04-04 21:34:13.561336,37
371,0.5214050493962679,0.5212383321761938,0.5214578084122525,0.5214261615577405,keras,,True,Sequential,8.0,1082178.0,1.0,2.0,1.0,,1.0,,,,,,1.0,,,2.0,,,1.0,,3.0,str,Adam,4330032.0,,bonlilicheng,2023-04-14 01:18:25.600234,119
372,0.5236004390779363,0.4971331908831908,0.5295381932588654,0.5233492384808174,keras,,True,Sequential,6.0,366082.0,1.0,,,,2.0,,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,1465632.0,,sairachawla,2023-04-16 16:33:05.973183,205
373,0.5104281009879253,0.4921124211242113,0.511931421755081,0.5102202621939464,keras,,True,Sequential,6.0,366082.0,1.0,,,,2.0,,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,1465632.0,,sairachawla,2023-04-18 02:49:03.688478,356
374,0.5126234906695939,0.3669571423205498,0.6697461739455021,0.5131506651243494,keras,,True,Sequential,4.0,211074.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,str,RMSprop,845168.0,,timnyt,2023-04-17 18:48:22.735472,291
375,0.5016465422612514,0.5016315297338461,0.5016412802467946,0.5016411220358589,unknown,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,AIModelShare,2022-12-05 16:42:32.863697,8
376,0.4994511525795829,0.4994505494505494,0.49945295404814,0.4994529593213803,unknown,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,mikedparrott,2023-03-14 18:01:47.436022,9
377,0.5093304061470911,0.3816225655821723,0.5571768993552004,0.5098298631193368,keras,True,True,Sequential,6.0,262706.0,1.0,,,,,1.0,,,,,,,,4.0,,,1.0,,3.0,str,RMSprop,1052112.0,,so2638,2023-04-15 19:50:43.886961,172
378,0.5082327113062569,0.3730675645783665,0.5644908987485779,0.5087430113745903,keras,,True,Sequential,9.0,863170.0,1.0,,,,,1.0,6.0,,,,,,,1.0,,,1.0,6.0,,,NoneType,3455520.0,,ivster,2023-04-18 00:31:17.020213,338
379,0.4972557628979144,0.49567519218682,0.4972830862967953,0.4973178137651822,keras,,True,Sequential,5.0,1025410.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,4102944.0,,moonliang,2023-04-18 04:20:28.655185,377
380,0.5027442371020856,0.3459909192478664,0.5838876570583887,0.5032822440717177,keras,,True,Sequential,4.0,1064386.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,str,RMSprop,4258304.0,,moonliang,2023-04-18 04:23:57.779149,379
381,0.5060373216245884,0.361877988643156,0.5560370152761458,0.5055161943319838,keras,True,True,Sequential,6.0,1002826.0,1.0,3.0,,,,,,,,,1.0,,,1.0,,,1.0,,,str,RMSprop,4012640.0,3.0,tzak,2023-04-17 04:47:04.183779,279
382,0.4917672886937431,0.4912867234244763,0.4917039143979412,0.4917341430499325,keras,,True,Sequential,12.0,491874.0,1.0,4.0,3.0,,1.0,,,,,,1.0,,,2.0,,,1.0,,5.0,str,Adam,1969328.0,,bonlilicheng,2023-04-14 00:27:45.481595,117
383,0.4950603732162459,0.4452416758451241,0.4917957725334774,0.4947320223636013,keras,,True,Sequential,6.0,366082.0,1.0,,,,2.0,,2.0,,,,,,,1.0,,,1.0,2.0,,str,RMSprop,1465632.0,,sairachawla,2023-04-16 16:13:57.515859,203
384,0.4840834248079034,0.483036317975466,0.4839074038087835,0.4840346057451321,keras,,True,Sequential,12.0,491874.0,1.0,4.0,3.0,,1.0,,,,,,1.0,,,2.0,,,1.0,,5.0,str,Adam,1969328.0,,bonlilicheng,2023-04-14 00:32:02.948081,118
385,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,True,True,Sequential,4.0,980065.0,1.0,,,,,1.0,,,,,,,,2.0,,1.0,,,1.0,str,RMSprop,3921008.0,3.0,shivanshc,2023-04-18 00:13:53.978539,336
386,0.5005488474204172,0.3335771762984638,0.2502744237102086,0.5,keras,,True,Sequential,12.0,445506.0,1.0,3.0,,,2.0,,,,,,1.0,,,3.0,2.0,,1.0,,5.0,str,RMSprop,1784800.0,,rc3434,2023-04-18 17:41:45.760674,428
