,accuracy,f1_score,precision,recall,ml_framework,deep_learning,model_type,depth,num_params,flatten_layers,batchnormalization_layers,dropout_layers,dense_layers,sigmoid_act,relu_act,tanh_act,softmax_act,loss,optimizer,memory_size,team,username,timestamp,version
273,0.4411764705882353,0.4503921568627451,0.6166666666666666,0.4442857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,mcmurrym,2023-02-07 21:37:00.003274,897
274,0.4411764705882353,0.4488095238095238,0.6144078144078143,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5.0,oliverhegi,2023-02-02 22:37:48.814381,150
275,0.4411764705882353,0.4488095238095238,0.6144078144078143,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5.0,oliverhegi,2023-02-02 22:36:12.705487,149
276,0.4705882352941176,0.4502711323763955,0.5995670995670996,0.4957142857142857,sklearn,,RidgeClassifier,,130.0,,,,,,,,,,auto,,9,mymstella,2023-02-05 22:00:12.526529,406
277,0.4705882352941176,0.4761089890501654,0.5744444444444444,0.4692857142857143,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,xuenricky,2023-02-07 06:04:46.500338,639
278,0.4705882352941176,0.4638808250572956,0.5833333333333334,0.4728571428571428,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5,Tazz,2023-02-06 03:38:16.200577,443
279,0.4705882352941176,0.4599999999999999,0.5878787878787879,0.4842857142857142,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,Chen,2023-02-03 04:03:00.457968,192
280,0.4705882352941176,0.4599999999999999,0.5878787878787879,0.4842857142857142,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,1,tinaz0407,2023-02-07 19:36:36.675077,831
281,0.4705882352941176,0.4578454225513049,0.5924242424242424,0.4842857142857142,keras,True,Sequential,8.0,667755.0,,,,8.0,,4.0,,1.0,str,SGD,2673016.0,6,francesyang,2023-02-06 22:51:42.352770,537
282,0.4705882352941176,0.4599999999999999,0.5878787878787879,0.4842857142857142,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,Chen,2023-02-03 20:16:27.059201,233
283,0.4705882352941176,0.4599999999999999,0.5878787878787879,0.4842857142857142,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5,Chen,2023-02-06 23:48:30.603911,551
284,0.4705882352941176,0.4599999999999999,0.5878787878787879,0.4842857142857142,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,1,Estelle,2023-02-07 18:40:05.637810,786
285,0.4705882352941176,0.4599999999999999,0.5878787878787879,0.4842857142857142,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,1,Estelle,2023-02-07 19:24:04.047990,818
286,0.4411764705882353,0.4389169000933707,0.6318681318681318,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5.0,oliverhegi,2023-02-02 22:52:00.235525,158
287,0.4411764705882353,0.4389169000933707,0.6318681318681318,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5.0,halfbaked_em,2023-02-04 17:06:59.200171,269
288,0.4411764705882353,0.4389169000933707,0.6318681318681318,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5,oliverhegi,2023-02-07 17:57:18.650803,771
289,0.4411764705882353,0.4389169000933707,0.6318681318681318,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5.0,oliverhegi,2023-02-02 22:56:07.424097,163
290,0.4705882352941176,0.4404219619389897,0.6104761904761904,0.4957142857142857,keras,True,Sequential,3.0,1430.0,,,,3.0,,2.0,,1.0,str,SGD,6552.0,8,hal2148,2023-02-06 19:42:33.230366,513
291,0.4411764705882353,0.4389169000933707,0.6318681318681318,0.4557142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,5.0,oliverhegi,2023-02-02 22:55:11.172169,161
292,0.4705882352941176,0.4576190476190476,0.5930735930735931,0.4728571428571428,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,2,ivster,2023-02-07 05:48:56.289483,626
293,0.4705882352941176,0.453669825186853,0.5904761904761905,0.4957142857142857,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,3.0,krystalhahn,2023-01-31 22:44:48.601370,30
294,0.4705882352941176,0.4799700299700299,0.564935064935065,0.4692857142857143,keras,True,Sequential,6.0,8657.0,,,,6.0,,5.0,,1.0,str,SGD,36176.0,,cj2733,2023-02-06 05:21:03.704229,450
295,0.4705882352941176,0.4664985994397758,0.5723809523809524,0.4957142857142857,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,eminilkay,2023-02-07 21:45:48.149106,931
296,0.4705882352941176,0.4824242424242423,0.5650000000000001,0.4657142857142856,sklearn,,GradientBoostingClassifier,,,,,,,,,,,,,,,sdp2158,2023-02-05 05:27:38.022538,365
297,0.4705882352941176,0.4483785220627326,0.5961538461538461,0.4842857142857142,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,8,miles_degrazia,2023-02-07 17:06:18.696228,749
298,0.4705882352941176,0.4483785220627326,0.5961538461538461,0.4842857142857142,sklearn,,RandomForestClassifier,,,,,,,,,,,,,,,miles_degrazia,2023-02-07 17:02:25.696165,746
